"module name","license","repository"
"@antfu/install-pkg@1.1.0","MIT","https://github.com/antfu/install-pkg"
"@anthropic-ai/sdk@0.91.1","MIT","https://github.com/anthropics/anthropic-sdk-typescript"
"@aws-crypto/sha256-browser@5.2.0","Apache-2.0","https://github.com/aws/aws-sdk-js-crypto-helpers"
"@aws-crypto/sha256-js@5.2.0","Apache-2.0","https://github.com/aws/aws-sdk-js-crypto-helpers"
"@aws-crypto/supports-web-crypto@5.2.0","Apache-2.0","https://github.com/aws/aws-sdk-js-crypto-helpers"
"@aws-crypto/util@5.2.0","Apache-2.0","https://github.com/aws/aws-sdk-js-crypto-helpers"
"@aws-sdk/client-bedrock-runtime@3.1048.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/core@3.975.1","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/credential-provider-env@3.972.57","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/credential-provider-http@3.972.59","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/credential-provider-ini@3.973.1","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/credential-provider-login@3.972.63","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/credential-provider-node@3.972.66","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/credential-provider-process@3.972.57","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/credential-provider-sso@3.973.1","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/credential-provider-web-identity@3.972.63","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/eventstream-handler-node@3.972.26","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/middleware-eventstream@3.972.22","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/middleware-websocket@3.972.39","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/nested-clients@3.997.31","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/signature-v4-multi-region@3.996.39","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/token-providers@3.1048.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/token-providers@3.1083.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/types@3.974.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/util-locate-window@3.965.8","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws-sdk/xml-builder@3.972.34","Apache-2.0","https://github.com/aws/aws-sdk-js-v3"
"@aws/lambda-invoke-store@0.3.0","Apache-2.0","https://github.com/awslabs/aws-lambda-invoke-store"
"@babel/code-frame@7.29.7","MIT","https://github.com/babel/babel"
"@babel/generator@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-globals@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.29.7","MIT","https://github.com/babel/babel"
"@babel/parser@7.29.7","MIT","https://github.com/babel/babel"
"@babel/runtime@7.29.7","MIT","https://github.com/babel/babel"
"@babel/template@7.29.7","MIT","https://github.com/babel/babel"
"@babel/traverse@7.29.7","MIT","https://github.com/babel/babel"
"@babel/types@7.29.7","MIT","https://github.com/babel/babel"
"@braintree/sanitize-url@7.1.2","MIT","https://github.com/braintree/sanitize-url"
"@chevrotain/types@11.1.2","Apache-2.0","https://github.com/Chevrotain/chevrotain"
"@earendil-works/pi-ai@0.80.3","MIT","https://github.com/earendil-works/pi"
"@emotion/babel-plugin@11.13.5","MIT","https://github.com/emotion-js/emotion/tree/main/packages/babel-plugin"
"@emotion/cache@11.14.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/cache"
"@emotion/css@11.13.5","MIT","https://github.com/emotion-js/emotion/tree/main/packages/css"
"@emotion/hash@0.9.2","MIT","https://github.com/emotion-js/emotion/tree/main/packages/hash"
"@emotion/memoize@0.9.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/memoize"
"@emotion/react@11.14.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/react"
"@emotion/serialize@1.3.3","MIT","https://github.com/emotion-js/emotion/tree/main/packages/serialize"
"@emotion/sheet@1.4.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/sheet"
"@emotion/unitless@0.10.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/unitless"
"@emotion/use-insertion-effect-with-fallbacks@1.2.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/use-insertion-effect-with-fallbacks"
"@emotion/utils@1.4.2","MIT","https://github.com/emotion-js/emotion/tree/main/packages/utils"
"@emotion/weak-memoize@0.4.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/weak-memoize"
"@google/genai@1.52.0","Apache-2.0","https://github.com/googleapis/js-genai"
"@hono/node-server@1.19.14","MIT","https://github.com/honojs/node-server"
"@iconify/types@2.0.0","MIT","https://github.com/iconify/iconify"
"@iconify/utils@3.1.3","MIT","https://github.com/iconify/iconify"
"@jridgewell/gen-mapping@0.3.13","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/resolve-uri@3.1.2","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/sourcemap-codec@1.5.5","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/trace-mapping@0.3.31","MIT","https://github.com/jridgewell/sourcemaps"
"@mermaid-js/parser@1.1.1","MIT","https://github.com/mermaid-js/mermaid"
"@mistralai/mistralai@2.2.6","Apache-2.0","https://github.com/mistralai/client-ts"
"@modelcontextprotocol/sdk@1.29.0","MIT","https://github.com/modelcontextprotocol/typescript-sdk"
"@monaco-editor/loader@1.7.0","MIT","https://github.com/suren-atoyan/monaco-loader"
"@monaco-editor/react@4.7.0","MIT","https://github.com/suren-atoyan/monaco-react"
"@opentelemetry/api@1.9.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
